,symbol,sector
1098,KE,Industrials
1099,NICK,Financial Services
1100,DKS,Consumer Cyclical
1101,AVGR,Healthcare
1102,NKSH,Financial Services
1103,DLB,Technology
1104,UCBI,Financial Services
1105,DLR-PJ,Real Estate
1106,NNN,Real Estate
1107,NOC,Industrials
1108,AVNS,Healthcare
1109,DMTK,Healthcare
1110,KHC,Consumer Defensive
1111,KIDS,Healthcare
1112,NOV,Energy
1113,KIM-PM,Real Estate
1114,NRIM,Financial Services
1115,NSC,Industrials
1116,NTWK,Technology
1117,NURO,Healthcare
1118,KMF,Financial Services
1119,NVAX,Healthcare
1120,NVR,Consumer Cyclical
1121,COMS,Communication Services
1122,NVS,Healthcare
1123,NWL,Consumer Defensive
1124,OCUL,Healthcare
1125,OCX,Healthcare
1126,NWPX,Industrials
1127,KODK,Industrials
1128,NXGN,Healthcare
1129,GDS,Technology
1130,DTST,Technology
1131,ODC,Basic Materials
1132,DUOT,Technology
1133,ODP,Consumer Cyclical
1134,DVAX,Healthcare
1135,GEG,Healthcare
1136,OHI,Real Estate
1137,GEHI,Consumer Defensive
1138,OI,Consumer Cyclical
1139,ULTA,Consumer Cyclical
1140,ORI,Financial Services
1141,ORLY,Consumer Cyclical
1142,SAGE,Healthcare
1143,OSPN,Technology
1144,SAIC,Technology
1145,OSUR,Healthcare
1146,KXIN,Consumer Cyclical
1147,KZIA,Healthcare
1148,AYRO,Consumer Cyclical
1149,AYTU,Healthcare
1150,OVBC,Financial Services
1151,AYX,Technology
1152,SAND,Basic Materials
1153,GHY,Financial Services
1154,SANG,Technology
1155,AZRE,Utilities
1156,OMF,Financial Services
1157,LAND,Real Estate
1158,PACW,Financial Services
1159,SATS,Technology
1160,LBRDK,Communication Services
1161,PATK,Consumer Cyclical
1162,ONCY,Healthcare
1163,LBTYK,Communication Services
1164,LC,Financial Services
1165,LCAHW,NA
1166,MSFT,Technology
1167,SBFM,Healthcare
1168,PB,Financial Services
1169,GLOG-PA,Energy
1170,GLP,Energy
1171,GLPI,Real Estate
1172,OPNT,Healthcare
1173,BANC,Financial Services
1174,PCAR,Industrials
1175,LDOS,Technology
1176,LDP,Financial Services
1177,SB-PC,Industrials
1178,SBRA,Real Estate
1179,GME,Consumer Cyclical
1180,GMED,Healthcare
1181,SBS,Utilities
1182,ORC,Real Estate
1183,UNTY,Financial Services
1184,PCH,Real Estate
1185,PCG,Utilities
1186,AAME,Financial Services
1187,GNE,Utilities
1188,PCYG,Technology
1189,GNL,Real Estate
1190,GNL-PA,Real Estate
1191,PCYO,Utilities
1192,GNUS,Communication Services
1193,GNW,Financial Services
1194,LEXX,Healthcare
1195,BCH,Financial Services
1196,GOEV,Consumer Cyclical
1197,PEAK,Real Estate
1198,GOOS,Consumer Cyclical
1199,LGIH,Consumer Cyclical
1200,SCM,Financial Services
1201,GOVX,Healthcare
1202,BEDU,Consumer Defensive
1203,SCYX,Healthcare
1204,ABC,Healthcare
1205,GPRE,Basic Materials
1206,ABEO,Healthcare
1207,GPRK,Energy
1208,SEAL-PA,Energy
1209,SEAS,Consumer Cyclical
1210,SECO,Consumer Cyclical
1211,BG,Consumer Defensive
1212,BGFV,Consumer Cyclical
1213,SESN,Healthcare
1214,PFIN,Industrials
1215,SFB,NA
1216,ABT,Healthcare
1217,GRPN,Communication Services
1218,LIFE,Healthcare
1219,PFSW,Industrials
1220,USB-PA,NA
1221,USB-PH,Financial Services
1222,SGH,Technology
1223,GRVY,Communication Services
1224,BIOC,Healthcare
1225,LILA,Communication Services
1226,PGC,Financial Services
1227,ACLS,Technology
1228,GSL-PB,Industrials
1229,GS-PA,Financial Services
1230,ACNT,Basic Materials
1231,BKCC,Financial Services
1232,GTBP,Healthcare
1233,ADI,Technology
1234,SIEN,Healthcare
1235,LIXT,Healthcare
1236,BKYI,Industrials
1237,BLDR,Industrials
1238,SIMO,Technology
1239,BLIN,Technology
1240,SIOX,Healthcare
1241,SIRE,Basic Materials
1242,SIX,Consumer Cyclical
1243,V,Financial Services
1244,PKBK,Financial Services
1245,VALE,Basic Materials
1246,VANI,Healthcare
1247,PKE,Industrials
1248,AEG,Financial Services
1249,AES,Utilities
1250,AEY,Technology
1251,AEZS,Healthcare
1252,AFG,Financial Services
1253,AGYS,Technology
1254,VATE,Industrials
1255,AIG,Financial Services
1256,AIN,Consumer Cyclical
1257,AIV,Real Estate
1258,AJG,Financial Services
1259,AJRD,Industrials
1260,AKO-A,Consumer Defensive
1261,ALCO,Consumer Defensive
1262,ALL,Financial Services
1263,ALOT,Technology
1264,ALRN,Healthcare
1265,ALV,Consumer Cyclical
1266,AMD,Technology
1267,AMG,Financial Services
1268,AMGN,Healthcare
1269,VC,Consumer Cyclical
1270,AMKR,Technology
1271,AMN,Healthcare
1272,AMNB,Financial Services
1273,PKG,Consumer Cyclical
1274,PLAB,Technology
1275,PLCE,Consumer Cyclical
1276,PLD,Real Estate
1277,PLUG,Industrials
1278,PLUS,Technology
1279,PLXS,Technology
1280,PMD,Healthcare
1281,PNBK,Financial Services
1282,PNC,Financial Services
1283,PNFP,Financial Services
1284,PNM,Utilities
1285,PNW,Utilities
1286,POCI,Healthcare
1287,POWI,Technology
1288,PRGS,Technology
1289,PROV,Financial Services
1290,PRPO,Healthcare
1291,PSTV,Healthcare
1292,PTSI,Industrials
1293,PUK,Financial Services
1294,VERB,Technology
1295,PVH,Consumer Cyclical
1296,PZZA,Consumer Cyclical
1297,QCOM,Technology
1298,QCRH,Financial Services
1299,QMCO,Technology
1300,VET,Energy
1301,QUIK,Technology
1302,R,Industrials
1303,VEV,Consumer Cyclical
1304,REFR,Technology
1305,VIPS,Consumer Cyclical
1306,BML-PG,Financial Services
1307,BML-PH,Financial Services
1308,BML-PL,Financial Services
1309,VIRX,Healthcare
1310,VISL,Technology
1311,BMRA,Healthcare
1312,VKTX,Healthcare
1313,VLYPO,Financial Services
1314,VLYPP,Financial Services
1315,RELL,Technology
1316,AMSC,Industrials
1317,AMT,Real Estate
1318,VMW,Technology
1319,TFII,Industrials
1320,VNCE,Consumer Cyclical
1321,VNDA,Healthcare
1322,AN,Consumer Cyclical
1323,OSW,Consumer Cyclical
1324,ANDE,Consumer Defensive
1325,RGCO,Utilities
1326,RGLD,Basic Materials
1327,BOOT,Consumer Cyclical
1328,ANSS,Technology
1329,SKE,Basic Materials
1330,RGR,Industrials
1331,AOS,Industrials
1332,AP,Industrials
1333,GTN,Communication Services
1334,RHP,Real Estate
1335,RICK,Consumer Cyclical
1336,ARCB,Industrials
1337,OTRK,Healthcare
1338,RL,Consumer Cyclical
1339,ARLP,Energy
1340,RMD,Healthcare
1341,LNTH,Healthcare
1342,RMTI,Healthcare
1343,RNR,Financial Services
1344,ASA,Financial Services
1345,LOCO,Consumer Cyclical
1346,ASG,Financial Services
1347,ROCK,Industrials
1348,ASML,Technology
1349,OVV,Energy
1350,ASR,Industrials
1351,ASTC,Industrials
1352,ROK,Industrials
1353,ASX,Technology
1354,LOPE,Consumer Defensive
1355,OXBRW,Financial Services
1356,GURE,Basic Materials
1357,BPMC,Healthcare
1358,EAST,Consumer Defensive
1359,ATLO,Financial Services
1360,ATO,Utilities
1361,BPRN,Financial Services
1362,RPT,Real Estate
1363,LPCN,Healthcare
1364,RS,Basic Materials
1365,VRDN,Healthcare
1366,AUB,Financial Services
1367,LPLA,Financial Services
1368,GWAV,Industrials
1369,VRNA,Healthcare
1370,RVSB,Financial Services
1371,VRSK,Industrials
1372,RWT,Real Estate
1373,RY,Financial Services
1374,VRTS,Financial Services
1375,LPTX,Healthcare
1376,RYAAY,Industrials
1377,EBR,Utilities
1378,PAC,Industrials
1379,PACB,Healthcare
1380,GWRE,Technology
1381,GWRS,Utilities
1382,LQDT,Consumer Cyclical
1383,ECC,Financial Services
1384,RYN,Real Estate
1385,AVID,Communication Services
1386,AVNT,Basic Materials
1387,SLNH,Technology
1388,LRN,Consumer Defensive
1389,SLNO,Healthcare
1390,AVNW,Technology
1391,SLRX,Healthcare
1392,SAH,Consumer Cyclical
1393,VTOL,Energy
1394,SALM,Communication Services
1395,SANM,Technology
1396,SBAC,Real Estate
1397,PAM,Utilities
1398,LSXMK,Communication Services
1399,AWH,Healthcare
1400,SBET,Consumer Cyclical
1401,PANW,Technology
1402,SBSI,Financial Services
1403,PARA,Communication Services
1404,VVPR,Technology
1405,VVX,Industrials
1406,SCI,Consumer Cyclical
1407,SCVL,Consumer Cyclical
1408,SMHI,Industrials
1409,VYGR,Healthcare
1410,SEAC,Technology
1411,SMID,Basic Materials
1412,AXTI,Technology
1413,VYNT,Healthcare
1414,W,Consumer Cyclical
1415,AYI,Industrials
1416,AZO,Consumer Cyclical
1417,SEE,Consumer Cyclical
1418,SMLR,Healthcare
1419,SEEL,Healthcare
1420,AZZ,Industrials
1421,WAL,Financial Services
1422,SENEA,Consumer Defensive
1423,SFST,Financial Services
1424,LUMO,Healthcare
1425,LUNA,Technology
1426,PBH,Healthcare
1427,LUV,Industrials
1428,EGIO,Technology
1429,EGLE,Industrials
1430,PBPB,Consumer Cyclical
1431,HBCP,Financial Services
1432,SHBI,Financial Services
1433,EGRX,Healthcare
1434,HBI,Consumer Cyclical
1435,PBYI,Healthcare
1436,SHOO,Consumer Cyclical
1437,LVO,Communication Services
1438,BBAR,Financial Services
1439,SHYF,Industrials
1440,BBGI,Communication Services
1441,SNAP,Communication Services
1442,SID,Basic Materials
1443,WBS-PF,Financial Services
1444,BSGM,Healthcare
1445,SIEB,Financial Services
1446,SND,Energy
1447,SNDR,Industrials
1448,LX,Financial Services
1449,HCC,Basic Materials
1450,LXFR,Industrials
1451,SIFY,Communication Services
1452,SILC,Technology
1453,SITC,Real Estate
1454,SNGX,Healthcare
1455,SJM,Consumer Defensive
1456,BSM,Energy
1457,BCO,Industrials
1458,AREC,Basic Materials
1459,PCRX,Healthcare
1460,PCSA,Healthcare
1461,SKX,Consumer Cyclical
1462,SKY,Consumer Cyclical
1463,ELBM,Basic Materials
1464,SLB,Energy
1465,SLGN,Consumer Cyclical
1466,LYV,Communication Services
1467,SNY,Healthcare
1468,BTCM,Technology
1469,BTCS,Financial Services
1470,SOBR,Technology
1471,SMBC,Financial Services
1472,SMIT,Technology
1473,BELFA,Technology
1474,BELFB,Technology
1475,BEN,Financial Services
1476,MA,Financial Services
1477,SMP,Consumer Cyclical
1478,SMSI,Technology
1479,SMTC,Technology
1480,BF-A,Consumer Defensive
1481,SOHO,Real Estate
1482,SNBR,Consumer Cyclical
1483,MAA-PI,Real Estate
1484,BFH,Financial Services
1485,SNN,Healthcare
1486,SNV,Financial Services
1487,BFS,Real Estate
1488,WFC-PL,Financial Services
1489,SOR,Financial Services
1490,ELYS,Consumer Cyclical
1491,MAIN,Financial Services
1492,SPGI,Financial Services
1493,BUR,Financial Services
1494,HGBL,Financial Services
1495,SQM,Basic Materials
1496,WHLR,Real Estate
1497,WHLRP,Real Estate
1498,PETQ,Healthcare
1499,SRDX,Healthcare
1500,BIO-B,Healthcare
1501,SRI,Consumer Cyclical
1502,SP,Industrials
1503,HHC,Real Estate
1504,MARA,Financial Services
1505,SSD,Industrials
1506,AADI,Healthcare
1507,BVXV,Healthcare
1508,BJRI,Consumer Cyclical
1509,MARK,Technology
1510,SPB,Consumer Defensive
1511,BKE,Consumer Cyclical
1512,BKNG,Consumer Cyclical
1513,BLFS,Healthcare
1514,SSP,Communication Services
1515,AAN,Industrials
1516,AAOI,Technology
1517,STBA,Financial Services
1518,STKL,Consumer Defensive
1519,STM,Technology
1520,HIMX,Technology
1521,MAXR,Technology
1522,STRL,Industrials
1523,STRS,Real Estate
1524,BOKF,Financial Services
1525,SUI,Real Estate
1526,BOOM,Energy
1527,BOSC,Technology
1528,WKHS,Consumer Cyclical
1529,BOTJ,Financial Services
1530,SUP,Consumer Cyclical
1531,BYRN,Industrials
1532,SPI,Technology
1533,ABCM,Healthcare
1534,BPOP,Financial Services
1535,PGRE,Real Estate
1536,WLKP,Basic Materials
1537,ABG,Consumer Cyclical
1538,SPLK,Technology
1539,BRFS,Consumer Defensive
1540,BRID,Consumer Defensive
1541,SPLP,Industrials
1542,SXI,Industrials
1543,HLF,Consumer Defensive
1544,SYK,Healthcare
1545,BRO,Financial Services
1546,BRT,Real Estate
1547,TARO,Healthcare
1548,SPR,Industrials
1549,MCHP,Technology
1550,TAYD,Industrials
1551,PHT,Financial Services
1552,MCHX,Communication Services
1553,TBI,Industrials
1554,SPSC,Technology
1555,TCBK,Financial Services
1556,ABUS,Healthcare
1557,PI,Technology
1558,SPWH,Consumer Cyclical
1559,ENO,NA
1560,SRG,Real Estate
1561,ENPH,Technology
1562,BUSE,Financial Services
1563,MCRB,Healthcare
1564,TENX,Healthcare
1565,WOW,Communication Services
1566,ENTA,Healthcare
1567,BXP,Real Estate
1568,ACEL,Consumer Cyclical
1569,TEVA,Healthcare
1570,BYD,Consumer Cyclical
1571,ACER,Healthcare
1572,MDB,Technology
1573,BZH,Consumer Cyclical
1574,ENV,Technology
1575,ENVB,Healthcare
1576,TFC,Financial Services
1577,TFX,Healthcare
1578,TG,Industrials
1579,WPRT,Consumer Cyclical
1580,SRC,Real Estate
1581,SRC-PA,Real Estate
1582,MDGS,Healthcare
1583,CACC,Financial Services
1584,TGNA,Communication Services
1585,HNW,Financial Services
1586,CAE,Industrials
1587,TGT,Consumer Defensive
1588,WRK,Consumer Cyclical
1589,PIRS,Healthcare
1590,CALA,Healthcare
1591,CAJ,Technology
1592,THMO,Healthcare
1593,THG,Financial Services
1594,CAKE,Consumer Cyclical
1595,THO,Consumer Cyclical
1596,HOLI,Industrials
1597,WSBF,Financial Services
1598,CALM,Consumer Defensive
1599,SRL,Financial Services
1600,WSC,Industrials
1601,CAMT,Technology
1602,HOMB,Financial Services
1603,CASH,Financial Services
1604,TK,Energy
1605,ACRE,Real Estate
1606,CALX,Technology
1607,HOUS,Real Estate
1608,TKC,Communication Services
1609,TKR,Industrials
1610,MDVL,Healthcare
1611,MDWD,Healthcare
1612,ACRX,Healthcare
1613,ACR-PC,Real Estate
1614,ACRS,Healthcare
1615,CATY,Financial Services
1616,EPIX,Healthcare
1617,CBAN,Financial Services
1618,DTW,NA
1619,CBFV,Financial Services
1620,EPR-PC,Real Estate
1621,TOL,Consumer Cyclical
1622,EPR-PE,Real Estate
1623,MEDP,Healthcare
1624,EPSN,Energy
1625,CCEP,Consumer Defensive
1626,TR,Consumer Defensive
1627,MELI,Consumer Cyclical
1628,EQC-PD,Real Estate
1629,CCL,Consumer Cyclical
1630,TRC,Industrials
1631,TREX,Industrials
1632,CAPL,Energy
1633,PLNT,Consumer Cyclical
1634,SSSS,Financial Services
1635,PLOW,Consumer Cyclical
1636,CCU,Consumer Defensive
1637,EQNR,Energy
1638,TRMB,Technology
1639,SSTI,Technology
1640,PLUR,Healthcare
1641,CDNS,Technology
1642,TRP,Energy
1643,MFA-PB,Real Estate
1644,PLXP,Healthcare
1645,PLYA,Consumer Cyclical
1646,TRST,Financial Services
1647,CDZI,Utilities
1648,CEE,Financial Services
1649,CARS,Consumer Cyclical
1650,LWLG,Basic Materials
1651,MFG,Financial Services
1652,CENX,Basic Materials
1653,CFBK,Financial Services
1654,CFFI,Financial Services
1655,CFFN,Financial Services
1656,TSI,Financial Services
1657,TSM,Technology
1658,TSN,Consumer Defensive
1659,WVE,Healthcare
1660,TTE,Energy
1661,CGNX,Technology
1662,STEL,Financial Services
1663,TTMI,Technology
1664,PMN,Healthcare
1665,TUP,Consumer Cyclical
1666,CATC,Financial Services
1667,TV,Communication Services
1668,CHNR,Industrials
1669,TVE,NA
1670,CI,Healthcare
1671,CIA,Financial Services
1672,ERII,Industrials
1673,CIK,Financial Services
1674,STLA,Consumer Cyclical
1675,MGNI,Communication Services
1676,MGNX,Healthcare
1677,TWN,Financial Services
1678,ADUS,Healthcare
1679,HSTO,Healthcare
1680,TXN,Technology
1681,CLFD,Technology
1682,AMSWA,Technology
1683,CLMB,Technology
1684,TXT,Industrials
1685,STN,Industrials
1686,ERYP,Healthcare
1687,TYL,Technology
1688,CLRO,Technology
1689,CLWT,Industrials
1690,CMC,Basic Materials
1691,UBFO,Financial Services
1692,UBOH,Financial Services
1693,UFCS,Financial Services
1694,CMI,Industrials
1695,MHLA,NA
1696,HTH,Financial Services
1697,CNC,Healthcare
1698,UGP,Energy
1699,CNI,Industrials
1700,UHAL,Industrials
1701,CNP,Utilities
1702,CNTY,Consumer Cyclical
1703,CNX,Energy
1704,COFS,Financial Services
1705,COKE,Consumer Defensive
1706,ESNT,Financial Services
1707,UMH,Real Estate
1708,POAI,Healthcare
1709,UNFI,Consumer Defensive
1710,CPE,Energy
1711,UNH,Healthcare
1712,AEL,Financial Services
1713,CPK,Utilities
1714,POET,Technology
1715,CBRE,Real Estate
1716,CPRT,Consumer Cyclical
1717,ESRT,Real Estate
1718,CPSS,Financial Services
1719,ESPR,Healthcare
1720,ESQ,Financial Services
1721,ESSA,Financial Services
1722,CRD-A,Financial Services
1723,UPS,Industrials
1724,POLA,Industrials
1725,XFOR,Healthcare
1726,CRL,Healthcare
1727,CRNT,Technology
1728,AER,Industrials
1729,CRUS,Technology
1730,USAU,Basic Materials
1731,CS,Financial Services
1732,CSCO,Technology
1733,USEG,Energy
1734,XHR,Real Estate
1735,USM,Communication Services
1736,HUN,Basic Materials
1737,CSPI,Technology
1738,MKC-V,Consumer Defensive
1739,CSWC,Financial Services
1740,HURN,Industrials
1741,CSX,Industrials
1742,POST,Consumer Defensive
1743,SUM,Basic Materials
1744,CTHR,Consumer Cyclical
1745,CTLP,Technology
1746,SUN,Energy
1747,CCEL,Healthcare
1748,VALU,Financial Services
1749,CVCY,Financial Services
1750,CVLG,Industrials
1751,CVLY,Financial Services
1752,CVS,Healthcare
1753,AGLE,Healthcare
1754,CVV,Industrials
1755,ASRT,Healthcare
1756,CWST,Industrials
1757,VECO,Technology
1758,CXW,Real Estate
1759,CYAN,Consumer Defensive
1760,AGRO,Consumer Defensive
1761,CYD,Industrials
1762,CCO,Communication Services
1763,CZFS,Financial Services
1764,CZNC,Financial Services
1765,DBD,Technology
1766,DCOM,Financial Services
1767,DDF,Financial Services
1768,AHG,Financial Services
1769,FISV,Technology
1770,PR,Energy
1771,SVA,Healthcare
1772,AHL-PC,Financial Services
1773,PRAA,Financial Services
1774,DGII,Technology
1775,XNCR,Healthcare
1776,EVBG,Technology
1777,XNET,Communication Services
1778,DHIL,Financial Services
1779,AHT-PD,Real Estate
1780,CCZ,Consumer Cyclical
1781,VGR,Consumer Defensive
1782,DINO,Energy
1783,EVGN,Healthcare
1784,VHC,Technology
1785,DLHC,Industrials
1786,DLTR,Consumer Defensive
1787,EVOK,Healthcare
1788,DMRC,Technology
1789,IAG,Basic Materials
1790,DOMH,Healthcare
1791,DORM,Consumer Cyclical
1792,VLY,Financial Services
1793,VLO,Energy
1794,AIMD,Healthcare
1795,VMC,Basic Materials
1796,DRD,Basic Materials
1797,SVVC,Financial Services
1798,MMLP,Energy
1799,PRI,Financial Services
1800,DSM,Financial Services
1801,VRSN,Technology
1802,VRTX,Healthcare
1803,CDXC,Healthcare
1804,CDXS,Healthcare
1805,VSEC,Industrials
1806,DVN,Energy
1807,SWKH,Financial Services
1808,DWSN,Energy
1809,VTNR,Energy
1810,VTR,Real Estate
1811,CEAD,Industrials
1812,DY,Industrials
1813,DYNT,Healthcare
1814,EA,Communication Services
1815,EBIX,Technology
1816,EBMT,Financial Services
1817,WAB,Industrials
1818,EDUC,Communication Services
1819,PROF,Healthcare
1820,IBO,NA
1821,EGBN,Financial Services
1822,IBP,Industrials
1823,IBRX,Healthcare
1824,SXC,Basic Materials
1825,EGY,Energy
1826,MNTX,Industrials
1827,XWEL,Consumer Cyclical
1828,WDC,Technology
1829,PRQR,Healthcare
1830,ELME,Real Estate
1831,ELTK,Technology
1832,MODN,Technology
1833,EMN,Basic Materials
1834,MOH,Healthcare
1835,WFC,Financial Services
1836,ICD,Energy
1837,EPAC,Industrials
1838,EPC,Consumer Defensive
1839,WHLM,Industrials
1840,EPR,Real Estate
1841,EQC,Real Estate
1842,EQR,Real Estate
1843,EQT,Energy
1844,WILC,Consumer Defensive
1845,MOMO,Communication Services
1846,ERIC,Technology
1847,ESCA,Consumer Cyclical
1848,EXPR,Consumer Cyclical
1849,ICLK,Communication Services
1850,AL,Industrials
1851,CEVA,Technology
1852,MORN,Financial Services
1853,EVC,Communication Services
1854,WPC,Real Estate
1855,WRLD,Financial Services
1856,PSA-PG,Real Estate
1857,ALBO,Healthcare
1858,CFG,Financial Services
1859,WSO,Industrials
1860,WSO-B,Industrials
1861,WST,Healthcare
1862,WTFC,Financial Services
1863,EXP,Basic Materials
1864,WVVI,Consumer Defensive
1865,PSEC,Financial Services
1866,WW,Consumer Cyclical
1867,WWD,Industrials
1868,YNDX,Communication Services
1869,IDEX,Industrials
1870,PSF,Financial Services
1871,WWW,Consumer Cyclical
1872,PSHG,Industrials
1873,CFRX,Healthcare
1874,XELB,Consumer Cyclical
1875,TA,Consumer Cyclical
1876,FBP,Financial Services
1877,AGAE,Communication Services
1878,FC,Industrials
1879,MRAM,Technology
1880,FCFS,Financial Services
1881,MRCC,Financial Services
1882,XOMA,Healthcare
1883,XRAY,Healthcare
1884,FCO,Financial Services
1885,XRX,Technology
1886,TAK,Healthcare
1887,FDBC,Financial Services
1888,YELL,Industrials
1889,YPF,Energy
1890,YVR,Communication Services
1891,TANH,Consumer Defensive
1892,ZD,Communication Services
1893,YY,Communication Services
1894,TANNL,Industrials
1895,ZEUS,Basic Materials
1896,ZION,Financial Services
1897,FEIM,Technology
1898,Z,Communication Services
1899,MRIN,Technology
1900,MRKR,Healthcare
1901,ZBZZT,NA
1902,MRNS,Healthcare
1903,ALIM,Healthcare
1904,ZCZZT,NA
1905,HEPA,Healthcare
1906,FHI,Financial Services
1907,PTCT,Healthcare
1908,FICO,Technology
1909,TBBK,Financial Services
1910,PTGX,Healthcare
1911,FL,Consumer Cyclical
1912,FLEX,Technology
1913,ALLE,Industrials
1914,FLO,Consumer Defensive
1915,ZG,Communication Services
1916,TBPH,Healthcare
1917,PTMN,Financial Services
1918,AZPN,Technology
1919,FBK,Financial Services
1920,FMC,Basic Materials
1921,ALLY,Financial Services
1922,CHCI,Real Estate
1923,GHC,Consumer Defensive
1924,FMS,Healthcare
1925,TCBI,Financial Services
1926,FNCB,Financial Services
1927,FBRX,Healthcare
1928,MSGS,Communication Services
1929,ZIVO,Healthcare
1930,CHEF,Consumer Defensive
1931,CHEK,Healthcare
1932,FRPH,Real Estate
1933,ZLAB,Healthcare
1934,EFX,Industrials
1935,FCAP,Financial Services
1936,MS-PA,Financial Services
1937,MS-PE,Financial Services
1938,MS-PI,Financial Services
1939,TCPC,Financial Services
1940,FSS,Industrials
1941,FSTR,Industrials
1942,PULM,Healthcare
1943,FTI,Energy
1944,FUND,Financial Services
1945,MSTR,Technology
1946,TDG,Industrials
1947,GABC,Financial Services
1948,GAIA,Communication Services
1949,GBCI,Financial Services
1950,PVBC,Financial Services
1951,ALRM,Technology
1952,GEF,Consumer Cyclical
1953,CHSCL,Consumer Defensive
1954,GERN,Healthcare
1955,GES,Consumer Cyclical
1956,CHSCO,Consumer Defensive
1957,CHT,Communication Services
1958,CHTR,Communication Services
1959,GHM,Industrials
1960,GIFI,Industrials
1961,GIII,Consumer Cyclical
1962,GILD,Healthcare
1963,ALT,Healthcare
1964,GL,Financial Services
1965,ZUMZ,Consumer Cyclical
1966,GEL,Energy
1967,GLBZ,Financial Services
1968,GLW,Technology
1969,GPC,Consumer Cyclical
1970,GPI,Consumer Cyclical
1971,GPN,Industrials
1972,GPS,Consumer Cyclical
1973,CIG-C,Utilities
1974,BLNK,Industrials
1975,ACN,Technology
1976,GSBC,Financial Services
1977,ZYNE,Healthcare
1978,CTAS,Industrials
1979,CIM,Real Estate
1980,CCS,Consumer Cyclical
1981,IMCC,Healthcare
1982,GVP,Technology
1983,GYRO,Real Estate
1984,ALYA,Technology
1985,FDUS,Financial Services
1986,HAFC,Financial Services
1987,AM,Energy
1988,MUFG,Financial Services
1989,HAS,Consumer Cyclical
1990,FEDU,Consumer Defensive
1991,HBIO,Healthcare
1992,HBNC,Financial Services
1993,CIVI,Energy
1994,HCSG,Healthcare
1995,AMC,Communication Services
1996,HDSN,Basic Materials
1997,HEI,Industrials
1998,CJJD,Healthcare
1999,PLAY,Communication Services
2000,HHS,Communication Services
2001,IMRN,Healthcare
2002,HL,Basic Materials
2003,FENC,Healthcare
2004,FENG,Communication Services
2005,HLIO,Industrials
2006,HLX,Energy
2007,HMN,Financial Services
2008,IMV,Healthcare
2009,HNI,Industrials
2010,HOV,Consumer Cyclical
2011,HPQ,Technology
2012,HQL,Financial Services
2013,FET,Energy
2014,HSC,Industrials
2015,HSIC,Healthcare
2016,AMH,Real Estate
2017,AMH-PG,Real Estate
2018,HUBG,Industrials
2019,HUM,Healthcare
2020,QIPT,Healthcare
2021,HWBK,Financial Services
2022,FFBW,Financial Services
2023,INDP,Healthcare
2024,HWKN,Basic Materials
2025,CLLS,Healthcare
2026,QNRX,Healthcare
2027,QNST,Communication Services
2028,ICLR,Healthcare
2029,CLNE,Energy
2030,FFNW,Financial Services
2031,IDA,Utilities
2032,AMP,Financial Services
2033,MYRG,Industrials
2034,IDCC,Communication Services
2035,IDN,Technology
2036,IDT,Communication Services
2037,MYSZ,Technology
2038,LMNL,Healthcare
2039,QRHC,Industrials
2040,INN,Real Estate
2041,CLSK,Technology
2042,INN-PE,Real Estate
2043,QTRX,Healthcare
2044,QUAD,Industrials
2045,AMTX,Energy
2046,CLW,Basic Materials
2047,CHDN,Consumer Cyclical
2048,INPX,Technology
2049,IMKTA,Consumer Defensive
2050,IMMR,Technology
2051,INSE,Consumer Cyclical
2052,ST,Technology
2053,ING,Financial Services
2054,INSG,Technology
2055,INSM,Healthcare
2056,INTZ,Technology
2057,IOSP,Basic Materials
2058,IPG,Communication Services
2059,NATR,Consumer Defensive
2060,CME,Financial Services
2061,IRS,Industrials
2062,IT,Technology
2063,ITI,Technology
2064,ANGI,Communication Services
2065,IVZ,Financial Services
2066,ANGO,Healthcare
2067,INVA,Healthcare
2068,RAIL,Industrials
2069,INVO,Healthcare
2070,CII,Financial Services
2071,JBL,Technology
2072,JCTCF,Basic Materials
2073,JHG,Financial Services
2074,CMP,Basic Materials
2075,JKHY,Technology
2076,IOVA,Healthcare
2077,JNPR,Technology
2078,JOE,Real Estate
2079,ANTE,Communication Services
2080,JOUT,Consumer Cyclical
2081,FINV,Financial Services
2082,CMRE,Industrials
2083,AAT,Real Estate
2084,RARE,Healthcare
2085,ANY,Technology
2086,KAMN,Industrials
2087,KB,Financial Services
2088,KBAL,Consumer Cyclical
2089,KRP,Energy
2090,FITBI,Financial Services
2091,KEY,Financial Services
2092,RBB,Financial Services
2093,TRU,Industrials
2094,NCMI,Communication Services
2095,NCNA,Healthcare
2096,AGO,Financial Services
2097,KFS,Consumer Cyclical
2098,KFY,Industrials
2099,FIVE,Consumer Cyclical
2100,NCSM,Energy
2101,FAF,Financial Services
2102,KMX,Consumer Cyclical
2103,KOF,Consumer Defensive
2104,KOSS,Technology
2105,NDP,Financial Services
2106,TFSL,Financial Services
2107,CNK,Communication Services
2108,EQIX,Real Estate
2109,KR,Consumer Defensive
2110,KRMD,Healthcare
2111,APAM,Financial Services
2112,KT,Communication Services
2113,CNNB,Financial Services
2114,FLGT,Healthcare
2115,CNNE,Consumer Cyclical
2116,IRBT,Consumer Cyclical
2117,RCEL,Healthcare
2118,NECB,Financial Services
2119,APCX,Technology
2120,JBT,Industrials
2121,KVHI,Technology
2122,LYB,Basic Materials
2123,L,Financial Services
2124,ULH,Industrials
2125,NEGG,Consumer Cyclical
